epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16453.5,1.35945,0.85577,1.13172,0.84418,0.73505,0.82516,0.43383,1.57334,1.00774,1.16699,0.0011882,0.0011882,0.0011882
43,16842.8,1.33976,0.84567,1.11977,0.84601,0.75258,0.84454,0.448,1.53657,0.8985,1.1364,0.0011684,0.0011684,0.0011684
44,17232.5,1.33001,0.8349,1.1195,0.83756,0.75464,0.83175,0.4521,1.49572,0.9503,1.13796,0.0011486,0.0011486,0.0011486
45,17622.2,1.33757,0.8358,1.11435,0.81428,0.75876,0.82282,0.45002,1.47508,1.00239,1.13033,0.0011288,0.0011288,0.0011288
46,18012,1.32926,0.81991,1.11307,0.82602,0.76495,0.83285,0.43305,1.55872,0.9447,1.15734,0.001109,0.001109,0.001109
47,18402.1,1.32123,0.81806,1.11037,0.81551,0.77423,0.82912,0.45181,1.50181,0.96735,1.13135,0.0010892,0.0010892,0.0010892
48,18790.9,1.30669,0.81562,1.10069,0.83265,0.73349,0.8082,0.42485,1.56091,0.98183,1.1732,0.0010694,0.0010694,0.0010694
49,19181,1.30739,0.80799,1.10312,0.81143,0.81134,0.84693,0.47471,1.47058,0.89163,1.13917,0.0010496,0.0010496,0.0010496
50,19570.4,1.30886,0.80902,1.10834,0.83541,0.78454,0.85452,0.44942,1.57089,0.91076,1.16242,0.0010298,0.0010298,0.0010298
51,19959.9,1.30951,0.80168,1.1,0.84542,0.78041,0.84989,0.45682,1.52765,0.90599,1.14332,0.00101,0.00101,0.00101
52,20350.7,1.3025,0.79856,1.09568,0.80698,0.80309,0.84261,0.45949,1.50717,0.92771,1.15097,0.0009902,0.0009902,0.0009902
53,20741.8,1.28533,0.79375,1.09593,0.82088,0.79897,0.83457,0.45094,1.52909,0.9354,1.14815,0.0009704,0.0009704,0.0009704
54,21131.4,1.28547,0.79505,1.09321,0.8274,0.80412,0.84237,0.45873,1.50299,0.91616,1.13973,0.0009506,0.0009506,0.0009506
55,21520.8,1.26487,0.77774,1.08522,0.83258,0.79588,0.84759,0.45881,1.51554,0.90358,1.14749,0.0009308,0.0009308,0.0009308
56,21911.1,1.26941,0.77294,1.08965,0.82968,0.8,0.85354,0.47148,1.48604,0.89274,1.13637,0.000911,0.000911,0.000911
57,22301,1.25862,0.77376,1.0892,0.83409,0.78782,0.84684,0.47469,1.47256,0.90858,1.12574,0.0008912,0.0008912,0.0008912
58,22690.4,1.24906,0.757,1.07811,0.81261,0.80619,0.84192,0.46336,1.49003,0.93199,1.13568,0.0008714,0.0008714,0.0008714
59,23079.9,1.26861,0.75871,1.07816,0.83821,0.79897,0.8524,0.46594,1.48687,0.90135,1.12163,0.0008516,0.0008516,0.0008516
60,23469.3,1.24701,0.7464,1.07193,0.83671,0.79766,0.84775,0.4612,1.52073,0.88349,1.15914,0.0008318,0.0008318,0.0008318
61,23857.7,1.23876,0.7502,1.07336,0.81623,0.81237,0.84899,0.4647,1.52757,0.88215,1.15193,0.000812,0.000812,0.000812
62,24247.6,1.23823,0.74993,1.07578,0.83977,0.80508,0.84884,0.46837,1.51408,0.90151,1.15999,0.0007922,0.0007922,0.0007922
63,24636.5,1.23765,0.7435,1.0685,0.85008,0.78969,0.84996,0.48121,1.46681,0.85118,1.13181,0.0007724,0.0007724,0.0007724
64,25027.1,1.23957,0.73675,1.06953,0.83863,0.77148,0.84078,0.47747,1.45374,0.87825,1.13366,0.0007526,0.0007526,0.0007526
65,25415.8,1.235,0.73994,1.07308,0.81311,0.80412,0.84728,0.46527,1.50002,0.89521,1.13613,0.0007328,0.0007328,0.0007328
66,25804.9,1.21624,0.72489,1.06228,0.85464,0.79278,0.85686,0.47379,1.47066,0.86658,1.12691,0.000713,0.000713,0.000713
67,26194.3,1.21279,0.73094,1.06196,0.82961,0.79897,0.84803,0.46833,1.48345,0.8661,1.13249,0.0006932,0.0006932,0.0006932
68,26583.5,1.19599,0.71799,1.05555,0.84862,0.79751,0.85137,0.47175,1.49343,0.86292,1.14907,0.0006734,0.0006734,0.0006734
69,26972,1.19976,0.71891,1.05984,0.83634,0.77629,0.82455,0.45868,1.49274,0.91478,1.14989,0.0006536,0.0006536,0.0006536
70,27362,1.19587,0.70739,1.05284,0.83601,0.80103,0.84892,0.46935,1.48686,0.86781,1.13987,0.0006338,0.0006338,0.0006338
71,27750.9,1.1865,0.70275,1.04983,0.86073,0.77629,0.84876,0.47098,1.48057,0.87205,1.13437,0.000614,0.000614,0.000614
72,28140.6,1.1965,0.70757,1.05328,0.84857,0.78569,0.8587,0.48553,1.45318,0.84602,1.13023,0.0005942,0.0005942,0.0005942
73,28530.8,1.18079,0.6989,1.04742,0.86166,0.80263,0.86368,0.48256,1.44942,0.84119,1.11604,0.0005744,0.0005744,0.0005744
74,28920.1,1.19141,0.69949,1.05337,0.83896,0.8134,0.85879,0.48123,1.46168,0.86066,1.13233,0.0005546,0.0005546,0.0005546
75,29310.3,1.17855,0.69301,1.05097,0.84407,0.82031,0.86208,0.48039,1.48115,0.86327,1.14477,0.0005348,0.0005348,0.0005348
76,29698.8,1.18985,0.69656,1.05087,0.84372,0.80206,0.85836,0.48177,1.45227,0.8772,1.11796,0.000515,0.000515,0.000515
77,30088.3,1.18218,0.69446,1.04783,0.85164,0.77524,0.85438,0.47837,1.49041,0.8729,1.13658,0.0004952,0.0004952,0.0004952
78,30477.7,1.16702,0.68815,1.03886,0.83876,0.7866,0.84377,0.48369,1.45595,0.87516,1.121,0.0004754,0.0004754,0.0004754
79,30867.7,1.15511,0.67719,1.03611,0.86701,0.78041,0.85068,0.4759,1.47916,0.88206,1.12845,0.0004556,0.0004556,0.0004556
80,31256.7,1.14337,0.672,1.03054,0.85602,0.79069,0.86297,0.48247,1.46035,0.84699,1.13022,0.0004358,0.0004358,0.0004358
